Wavelength[nm],f/6 + AOI 0 deg,
1895,0.001045924,
1894,0.001064388,
1893,0.001088429,
1892,0.001118665,
1891,0.001154782,
1890,0.001197016,
1889,0.001245375,
1888,0.00130017,
1887,0.001361131,
1886,0.001428236,
1885,0.001501412,
1884,0.001580156,
1883,0.001663796,
1882,0.001751459,
1881,0.00184162,
1880,0.001933749,
1879,0.002025816,
1878,0.002116411,
1877,0.002203434,
1876,0.002285599,
1875,0.002362109,
1874,0.002432204,
1873,0.002494595,
1872,0.002550939,
1871,0.00260016,
1870,0.002644844,
1869,0.002685344,
1868,0.002723328,
1867,0.002761214,
1866,0.002799626,
1865,0.002841842,
1864,0.002888019,
1863,0.002941034,
1862,0.003002617,
1861,0.003074681,
1860,0.003157912,
1859,0.003255367,
1858,0.003368217,
1857,0.003499452,
1856,0.003650901,
1855,0.003826485,
1854,0.004029025,
1853,0.004261868,
1852,0.004531062,
1851,0.004839494,
1850,0.005196369,
1849,0.005609188,
1848,0.006085552,
1847,0.006635903,
1846,0.007276122,
1845,0.008020473,
1844,0.008889964,
1843,0.009906038,
1842,0.011096857,
1841,0.012499712,
1840,0.014157938,
1839,0.016121298,
1838,0.018454403,
1837,0.021232445,
1836,0.024558396,
1835,0.028549598,
1834,0.033334965,
1833,0.039102093,
1832,0.046036256,
1831,0.054412665,
1830,0.064491132,
1829,0.076612565,
1828,0.091138106,
1827,0.108492571,
1826,0.129121927,
1825,0.153461698,
1824,0.181928191,
1823,0.215030468,
1822,0.253162864,
1821,0.296688013,
1820,0.346019042,
1819,0.401790811,
1818,0.464515275,
1817,0.535180154,
1816,0.61475207,
1815,0.705180022,
1814,0.808723383,
1813,0.928324901,
1812,1.068316657,
1811,1.23367283,
1810,1.431198921,
1809,1.669936664,
1808,1.961552788,
1807,2.321667383,
1806,2.771405025,
1805,3.338105052,
1804,4.058821947,
1803,4.984252094,
1802,6.183010728,
1801,7.746401448,
1800,9.797155473,
1799,12.49971181,
1798,16.05092258,
1797,20.69188233,
1796,26.66244668,
1795,34.12714832,
1794,43.09233228,
1793,53.22307958,
1792,63.82634862,
1791,73.96052751,
1790,82.67991091,
1789,89.41286275,
1788,94.05892264,
1787,96.91700839,
1786,98.46910714,
1785,99.22017758,
1784,99.49471218,
1783,99.58639241,
1782,99.60932566,
1781,99.60932566,
1780,99.6322642,
1779,99.67815712,
1778,99.7011115,
1777,99.72407117,
1776,99.7011115,
1775,99.67815712,
1774,99.6322642,
1773,99.56346443,
1772,99.51762432,
1771,99.47180531,
1770,99.47180531,
1769,99.47180531,
1768,99.49471218,
1767,99.56346443,
1766,99.60932566,
1765,99.67815712,
1764,99.72407117,
1763,99.77000638,
1762,99.79298192,
1761,99.77000638,
1760,99.74703613,
1759,99.7011115,
1758,99.6322642,
1757,99.56346443,
1756,99.49471218,
1755,99.44890372,
1754,99.40311635,
1753,99.40311635,
1752,99.40311635,
1751,99.4260074,
1750,99.49471218,
1749,99.54054174,
1748,99.60932566,
1747,99.67815712,
1746,99.74703613,
1745,99.77000638,
1744,99.79298192,
1743,99.79298192,
1742,99.79298192,
1741,99.74703613,
1740,99.67815712,
1739,99.6322642,
1738,99.56346443,
1737,99.49471218,
1736,99.44890372,
1735,99.4260074,
1734,99.4260074,
1733,99.4260074,
1732,99.44890372,
1731,99.49471218,
1730,99.56346443,
1729,99.60932566,
1728,99.67815712,
1727,99.72407117,
1726,99.77000638,
1725,99.79298192,
1724,99.79298192,
1723,99.77000638,
1722,99.72407117,
1721,99.67815712,
1720,99.60932566,
1719,99.54054174,
1718,99.47180531,
1717,99.40311635,
1716,99.35735006,
1715,99.33447482,
1714,99.33447482,
1713,99.33447482,
1712,99.38023057,
