Wavelength[nm],Transmission,,R% at AOI 45 deg
1639,99.35636,,0.64364
1638,99.35694,,0.64306
1637,99.35751,,0.64249
1636,99.35806,,0.64194
1635,99.3586,,0.6414
1634,99.35912,,0.64088
1633,99.35961,,0.64039
1632,99.36009,,0.63991
1631,99.36054,,0.63946
1630,99.36097,,0.63903
1629,99.36137,,0.63863
1628,99.36175,,0.63825
1627,99.3621,,0.6379
1626,99.36242,,0.63758
1625,99.3627,,0.6373
1624,99.36296,,0.63704
1623,99.36319,,0.63681
1622,99.36337,,0.63663
1621,99.36353,,0.63647
1620,99.36365,,0.63635
1619,99.36372,,0.63628
1618,99.36376,,0.63624
1617,99.36376,,0.63624
1616,99.36372,,0.63628
1615,99.36363,,0.63637
1614,99.36351,,0.63649
1613,99.36334,,0.63666
1612,99.36313,,0.63687
1611,99.36288,,0.63712
1610,99.36258,,0.63742
1609,99.36225,,0.63775
