#Wavelength (nm),"M1, M2, or M3
#2 years"
1495,0.944013646
1494,0.943756975
1493,0.944177545
1492,0.944002641
1491,0.944093806
1490,0.9441259
1489,0.943982226
1488,0.944531066
1487,0.944276066
1486,0.943852552
1485,0.944735718
1484,0.944137961
1483,0.94392259
1482,0.943964341
1481,0.944033928
1480,0.94440134
1479,0.944459883
1478,0.94458416
1477,0.943995132
1476,0.944063028
1475,0.944013284
1474,0.943669821
1473,0.944137643
1472,0.944238389
1471,0.94351675
1470,0.943873851
1469,0.944160194
1468,0.943496895
1467,0.943819701
1466,0.94378287
1465,0.944439252
1464,0.944457804
1463,0.943717079
1462,0.943946056
1461,0.943919239
1460,0.944482365
1459,0.944046224
1458,0.944102675
1457,0.944184132
1456,0.943810692
1455,0.943684025
1454,0.943927002
1453,0.944669882
1452,0.943511848
1451,0.943523782
1450,0.944053974
1449,0.944130567
1448,0.943915393
1447,0.943413067
1446,0.944298356
1445,0.944049905
1444,0.943101711
1443,0.943649432
1442,0.943928528
1441,0.943671767
1440,0.94370046
1439,0.943660564
1438,0.943940722
1437,0.944037685
1436,0.943599803
1435,0.943852208
1434,0.943507722
1433,0.943357245
1432,0.943728879
1431,0.9438716
1430,0.943651282
1429,0.943319709
1428,0.943978901
1427,0.943509318
1426,0.943816172
1425,0.943233274
1424,0.94339173
1423,0.943358879
1422,0.943792725
1421,0.94323597
1420,0.943409328
1419,0.943407904
1418,0.943095055
1417,0.943049831
1416,0.943063711
1415,0.943125254
1414,0.943206641
1413,0.94315663
1412,0.94332208
1411,0.942620977
1410,0.942886105
1409,0.942607765
1408,0.94278958
1407,0.942918549
1406,0.942696686
1405,0.942633444
1404,0.942859446
1403,0.942977339
1402,0.942083403
1401,0.942125111
1400,0.942955367
1399,0.942540309
1398,0.942583008
1397,0.941792723
1396,0.94253926
1395,0.942061596
1394,0.942029266
1393,0.942374382
1392,0.941966654
1391,0.942451623
1390,0.942044703
1389,0.942181282
1388,0.942556362
1387,0.942678827
1386,0.942372341
1385,0.941992709
1384,0.941700719
1383,0.941851044
1382,0.941835492
1381,0.942401307
1380,0.942775631
1379,0.942086894
1378,0.941394202
1377,0.942010791
1376,0.94142561
1375,0.941849219
1374,0.941517817
1373,0.941293856
1372,0.942126738
1371,0.941259282
1370,0.941719036
1369,0.941642246
1368,0.942091643
1367,0.941636028
1366,0.942112344
1365,0.942387911
1364,0.941674563
1363,0.941455854
1362,0.941983344
1361,0.941421274
1360,0.941873862
1359,0.941995665
1358,0.940962645
1357,0.941143926
1356,0.94110391
1355,0.940979074
1354,0.940754719
1353,0.941741772
1352,0.941069558
1351,0.94125611
1350,0.941827825
1349,0.941675593
1348,0.941548754
1347,0.941612829
1346,0.942157402
