Preliminary design data,,
1551,,
Wavelength (nm),%R,%T
1566,6.13E-02,0.938634
1567,6.13E-02,0.9386475
1568,6.12E-02,0.9387203
1569,6.11E-02,0.938852
1570,6.09E-02,0.9390417
1571,6.07E-02,0.9392881
1572,6.04E-02,0.9395894
1573,6.00E-02,0.9399431
1574,5.96E-02,0.9403466
1575,5.92E-02,0.9407965
1576,5.87E-02,0.9412893
1577,5.81E-02,0.9418211
1578,5.76E-02,0.9423877
1579,5.70E-02,0.9429846
1580,5.63E-02,0.9436073
1581,5.57E-02,0.9442482
1582,5.50E-02,0.944905
1583,5.44E-02,0.9455726
1584,5.37E-02,0.9462459
1585,5.30E-02,0.9469198
1586,5.24E-02,0.9475891
1587,5.17E-02,0.9482488
1588,5.11E-02,0.948894
1589,5.04E-02,0.9495198
1590,4.98E-02,0.9501217
1591,4.93E-02,0.9506952
1592,4.87E-02,0.9512362
1593,4.82E-02,0.9517409
1594,4.77E-02,0.9522055
1595,4.73E-02,0.9526269
1596,4.70E-02,0.9530024
1597,4.66E-02,0.9533294
1598,4.63E-02,0.9536057
1599,4.61E-02,0.9538299
1600,4.60E-02,0.9540008
1601,4.58E-02,0.9541174
1602,4.58E-02,0.9541796
1603,4.58E-02,0.9541876
1604,4.58E-02,0.9541417
1605,0.0459123,0.9540431
1606,4.61E-02,0.9538933
1607,4.63E-02,0.953694
1608,4.65E-02,0.9534474
1609,4.68E-02,0.9531562
1610,4.71E-02,0.9528232
1611,4.75E-02,0.9524516
1612,4.79E-02,0.9520448
1613,4.83E-02,0.9516069
1614,4.88E-02,0.9511413
1615,4.93E-02,0.9506524
1616,4.98E-02,0.9501442
1617,5.03E-02,0.9496212
1618,5.09E-02,0.9490876
1619,5.14E-02,0.9485477
1620,5.20E-02,0.948006
1621,5.25E-02,0.9474654
1622,5.30E-02,0.9469314
1623,5.35E-02,0.9464081
1624,5.41E-02,0.9458994
1625,5.45E-02,0.9454094
1626,5.50E-02,0.9449413
1627,5.55E-02,0.9444987
1628,5.59E-02,0.9440846
1629,5.63E-02,0.9437022
1630,5.66E-02,0.9433537
1631,5.69E-02,0.9430417
1632,5.72E-02,0.9427683
1633,5.74E-02,0.942535
1634,5.76E-02,0.9423434
1635,5.78E-02,0.9421948
1636,5.79E-02,0.9420897
1637,5.79E-02,0.9420289
1638,5.79E-02,0.9420125
1639,5.79E-02,0.9420406
1640,5.78E-02,0.9421128
1641,5.77E-02,0.9422285
1642,5.76E-02,0.9423865
1643,5.74E-02,0.9425857
1644,5.71E-02,0.9428246
1645,5.69E-02,0.9431016
1646,5.65E-02,0.9434148
1647,5.62E-02,0.9437622
1648,5.58E-02,0.9441413
1649,5.54E-02,0.9445499
1650,5.50E-02,0.9449852
1651,5.45E-02,0.9454444
1652,5.40E-02,0.9459247
1653,5.35E-02,0.9464231
1654,5.30E-02,0.9469364
1655,5.25E-02,0.9474616
1656,5.20E-02,0.9479953
1657,5.14E-02,0.9485344
1658,5.09E-02,0.9490754
1659,5.03E-02,0.9496153
1660,4.98E-02,0.9501507
1661,4.93E-02,0.9506795
1662,0.0487535,0.9512053
1663,4.82E-02,0.951717
1664,4.77E-02,0.9522119
1665,4.73E-02,0.9526868
1666,4.68E-02,0.9531393
1667,4.64E-02,0.9535667
1668,4.60E-02,0.9539666
1669,4.56E-02,0.9543369
1670,4.53E-02,0.9546754
1671,4.50E-02,0.9549806
1672,0.0447081,0.9552509
1673,4.45E-02,0.9554847
1674,4.43E-02,0.9556812
1675,4.41E-02,0.9558395
1676,4.40E-02,0.9559588
1677,4.39E-02,0.9560391
1678,0.0438792,0.95608
1679,4.39E-02,0.9560816
1680,4.39E-02,0.9560446
1681,0.04399,0.9559693
1682,4.41E-02,0.955851
1683,4.43E-02,0.9556969
1684,4.45E-02,0.9555082
1685,4.47E-02,0.9552864
1686,4.49E-02,0.9550331
1687,4.52E-02,0.95475
1688,4.55E-02,0.9544391
1689,4.59E-02,0.9541025
1690,4.62E-02,0.9537423
1691,4.66E-02,0.953361
1692,4.70E-02,0.9529608
1693,4.74E-02,0.9525445
1694,4.78E-02,0.9521142
1695,4.83E-02,0.9516729
1696,4.87E-02,0.9512229
1697,4.92E-02,0.950767
1698,4.97E-02,0.9503078
1699,0.0501124,0.949848
1700,5.06E-02,0.9493899
1701,0.0510247,0.9489358
1702,5.15E-02,0.9484885
1703,5.19E-02,0.9480506
1704,5.23E-02,0.9476242
1705,5.27E-02,0.9472116
1706,5.31E-02,0.946815
1707,5.35E-02,0.9464362
1708,5.39E-02,0.9460773
1709,5.42E-02,0.9457399
1710,5.45E-02,0.9454267
1711,5.48E-02,0.9451382
1712,5.51E-02,0.9448755
1713,5.53E-02,0.9446401
1714,0.0555286,0.9444327
1715,5.57E-02,0.9442543
1716,5.59E-02,0.9441055
1717,0.0559745,0.943987
1718,5.61E-02,0.9438989
1719,5.61E-02,0.9438416
1720,5.61E-02,0.9438151
1721,0.0561427,0.9438189
1722,5.61E-02,0.9438531
1723,5.60E-02,0.943917
1724,5.60E-02,0.9440104
1725,5.58E-02,0.9441323
1726,5.57E-02,0.9442822
1727,5.55E-02,0.9444588
1728,5.53E-02,0.9446613
1729,5.51E-02,0.9448883
1730,5.48E-02,0.9451385
1731,5.46E-02,0.9454107
1732,0.0542588,0.9457031
