Preliminary design data,,
1901,,
Wavelength (nm),%R,%T
1168,0.8469335,0.1529984
1169,0.8738326,0.1261047
1170,0.8963987,0.1035439
1171,0.914938,8.50E-02
1172,0.9299672,7.00E-02
1173,0.9420597,5.79E-02
1174,0.951759,4.82E-02
1175,0.9595385,4.04E-02
1176,0.9657915,0.0341737
1177,0.9708356,2.91E-02
1178,0.9749224,2.50E-02
1179,0.9782501,2.17E-02
1180,0.9809734,1.90E-02
1181,0.9832131,1.68E-02
1182,0.9850639,1.49E-02
1183,0.9865998,1.34E-02
1184,0.9878792,1.21E-02
1185,0.9889478,1.10E-02
1186,0.9898419,1.01E-02
1187,0.9905905,9.39E-03
1188,0.9912162,8.77E-03
1189,0.9917375,8.25E-03
1190,0.9921687,7.81E-03
1191,0.9925215,7.46E-03
1192,0.9928046,7.18E-03
1193,0.9930254,6.96E-03
1194,0.9931887,6.80E-03
1195,0.9932985,6.69E-03
1196,0.993357,6.63E-03
1197,0.9933653,6.62E-03
1198,0.9933233,6.66E-03
1199,0.9932297,6.76E-03
1200,0.9930817,6.91E-03
1201,0.9928758,7.11E-03
1202,0.9926062,7.38E-03
1203,0.9922658,7.72E-03
1204,0.9918455,8.14E-03
1205,0.9913343,8.65E-03
1206,0.990719,9.27E-03
1207,0.989984,1.00E-02
1208,0.9891118,1.09E-02
1209,0.988084,1.19E-02
1210,0.9868826,1.31E-02
1211,0.9854939,1.45E-02
1212,0.9839141,1.61E-02
1213,0.9821578,1.78E-02
1214,0.9802686,1.97E-02
1215,0.9783309,0.0216585
1216,0.9764746,2.35E-02
1217,0.9748664,2.51E-02
1218,0.9736808,2.63E-02
1219,0.9730547,2.69E-02
1220,0.9730436,2.69E-02
1221,0.9736044,2.64E-02
1222,0.9746141,2.54E-02
1223,0.9759116,2.41E-02
1224,0.9773408,2.26E-02
1225,0.9787769,2.12E-02
1226,0.9801342,1.99E-02
1227,0.9813621,0.0186292
1228,0.982436,1.76E-02
1229,0.9833482,1.66E-02
1230,0.9841008,1.59E-02
1231,0.9847007,1.53E-02
1232,0.9851561,1.48E-02
1233,0.9854751,1.45E-02
1234,0.9856645,0.0143276
1235,0.9857295,1.43E-02
1236,0.9856728,1.43E-02
