Preliminary design data,,
1901,,
Wavelength (nm),%R,%T
1475,0.8187329,0.1812005
1476,0.7924302,0.2074999
1477,0.7635617,0.236365
1478,0.7325524,0.2673713
1479,0.7001024,0.2998184
1480,0.6671803,0.3327382
1481,0.6350313,0.3648854
1482,0.6048096,0.3951059
1483,0.5776541,0.4222609
1484,0.5544469,0.4454683
1485,0.5356988,0.4642171
1486,0.5215133,0.4784037
1487,0.5116299,0.4882887
1488,0.5055206,0.4943995
1489,0.5025076,0.4974144
1490,0.5018681,0.4980555
1491,0.5029139,0.4970113
1492,0.5050383,0.4948883
1493,0.5077373,0.4921903
1494,0.5106121,0.4893164
1495,0.5133598,0.4865694
1496,0.5157597,0.4841698
1497,0.5176583,0.4822713
1498,0.5189541,0.4809754
1499,0.5195851,0.480344
1500,0.5195184,0.4804102
1501,0.5187408,0.4811868
1502,0.5172474,0.4826791
1503,0.5150415,0.4848837
1504,0.5121248,0.4877988
1505,0.5084915,0.4914302
1506,0.5041212,0.4957983
1507,0.4989719,0.5009451
1508,0.4929715,0.5069428
1509,0.4860082,0.513903
